order_id,city,ts,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,demand_index,supply_index,eta_promised_min,eta_actual_min,base_price,paid_price,hour,day_of_week
O000000,Berlin,2024-01-19T17:15:00,52.56408571676919,13.461038667198508,52.57000522582101,13.433520158433904,1.9729544528427192,1.7158425631014782,0.9534869458305818,8.83,9.85,5.86,9.73,17,4
O000001,Berlin,2024-02-13T23:07:00,52.484947496823764,13.434607636838923,52.46331712846289,13.41797920872174,2.6558214060836147,1.108512008717193,1.293129753784311,5.87,6.0,6.49,5.5,23,1
O000002,Berlin,2024-04-07T00:11:00,52.47046289484248,13.314311350456762,52.49739602707768,13.351561913102728,3.915581355791092,0.879872262016239,0.9416612500413446,10.03,10.3,8.21,6.49,0,6
O000003,Berlin,2024-01-23T04:22:00,52.529502674122476,13.368576436739671,52.53070675539315,13.372313259087134,0.28604540613466395,1.3704556369017875,1.147693315999082,3.0,3.0,3.49,3.35,4,1
O000004,Berlin,2024-03-06T02:57:00,52.48256188381287,13.482322252013423,52.473967083414486,13.464797012788415,1.5238334093764174,1.064816793878959,0.9229835439167366,5.11,4.85,5.07,6.47,2,2
O000005,Munich,2024-03-15T19:05:00,48.10740446517341,11.530185201996199,48.08435660874492,11.559233476066247,3.349902946654574,1.1223352577681736,0.904165152430942,10.47,11.24,7.58,10.41,19,4
O000006,Munich,2024-03-08T08:28:00,48.147221492516195,11.496743194431362,48.160016179749576,11.517605998320715,2.1022126350700807,1.3928347921780095,1.1129287311628013,12.7,14.48,6.25,6.43,8,4
O000007,Berlin,2024-03-31T15:59:00,52.511028482939764,13.49966462426374,52.4959860166887,13.49249525810659,1.741615831676519,1.1643805008750447,0.8383012794213625,8.79,8.36,5.51,8.35,15,6
O000008,Munich,2024-04-17T12:44:00,48.11865700588861,11.604958259788596,48.12101754040355,11.62955347220172,1.8444970166154504,0.8595893812245295,0.9344675706804464,5.91,5.55,5.49,4.05,12,2
O000009,Berlin,2024-02-08T18:49:00,52.47665293725649,13.32637038081341,52.466909847540705,13.361803157126412,2.633218569354314,1.1072970103735762,1.177237180242106,6.87,6.29,6.47,7.03,18,3
O000010,Berlin,2024-03-01T07:42:00,52.486105397178015,13.362664908763044,52.458318614019284,13.371430055481436,3.1462721126709114,1.3615278070437755,0.8603094684667225,14.26,15.66,7.56,13.11,7,4
O000011,Berlin,2024-03-05T07:01:00,52.53738596183342,13.380912289198235,52.545324311669035,13.391594666059108,1.1406405207214465,1.1662643924760934,0.6018927349738623,5.99,6.0,4.67,9.21,7,1
O000012,Berlin,2024-02-16T09:47:00,52.477179493023755,13.441938013890079,52.45764147876405,13.457213032938276,2.4063637483399987,1.2433493415327526,0.7355876967588649,10.22,10.33,6.4,10.66,9,4
O000013,Berlin,2024-02-11T21:43:00,52.5576658909544,13.498091972575933,52.56565197839079,13.48521435585983,1.2435023470003785,0.753827136713209,1.1043883131233796,3.13,3.0,4.64,3.21,21,6
O000014,Berlin,2024-03-20T14:53:00,52.55782650262325,13.43341439312511,52.52837832572025,13.401532116554392,3.920554365045449,1.3731549022289513,1.0947665841823575,17.54,19.29,8.67,10.35,14,2
O000015,Berlin,2024-02-14T03:01:00,52.5519068092593,13.444674836306076,52.55600532545943,13.412168817732324,2.2444252020186597,1.131310721726766,0.8220971140748954,11.08,11.68,6.28,10.11,3,2
O000016,Munich,2024-03-27T16:39:00,48.15026370931052,11.56076654384769,48.149814770939656,11.536385982871533,1.809416290836495,1.1858215003877774,0.8964944830486371,6.43,5.94,5.47,7.35,16,2
O000017,Munich,2024-02-08T00:44:00,48.185300945546736,11.521222844889742,48.17840680926285,11.54931377861109,2.2193004744541014,1.1428000988184184,1.0428187488260408,10.53,10.28,6.18,6.67,0,3
O000018,Berlin,2024-03-29T21:24:00,52.56880646201251,13.330818483352036,52.569906241154335,13.361008329106273,2.0440224465454975,1.2166102486350554,1.2107604104069807,9.21,8.75,5.89,7.06,21,4
O000019,Berlin,2024-04-05T11:52:00,52.51018195536246,13.47562493937269,52.519179791209126,13.491782289553306,1.4820359905779892,0.8124349920169754,0.9369461510719309,3.0,3.0,4.93,4.2,11,4
O000020,Berlin,2024-01-05T11:33:00,52.51511735616491,13.363039075468222,52.520567351799045,13.325479095463347,2.612700834288394,0.9056136268421133,1.2177901193934733,5.12,5.66,6.42,4.8,11,4
O000021,Berlin,2024-04-27T02:27:00,52.513762555788176,13.418939726754223,52.52200834987807,13.437027033452036,1.5292169095398307,0.7844510444141388,0.5949714826684785,5.29,5.76,5.12,6.3,2,5
O000022,Berlin,2024-01-21T19:05:00,52.56551780976135,13.483915626512685,52.57727626212697,13.476631862065826,1.3970720381566772,0.9050109377678087,0.8693341534852577,3.0,3.01,4.83,6.07,19,6
O000023,Berlin,2024-03-31T22:35:00,52.52340648954812,13.392312013734115,52.508270348918195,13.380789828026217,1.8548806295435485,1.080996342192191,1.0887638856292456,3.75,4.29,5.44,5.36,22,6
O000024,Berlin,2024-01-06T10:28:00,52.50206219790856,13.387671041567422,52.50901320379169,13.398478533636833,1.064172306457554,1.2882546578132232,0.7128275697641121,3.92,4.4,4.5,6.82,10,5
O000025,Berlin,2024-03-18T04:40:00,52.52029306975282,13.50685065311349,52.52482152042537,13.497904247210013,0.7873497393792054,1.0020466122039173,1.4266066749312534,3.0,3.0,4.09,3.54,4,0
O000026,Berlin,2024-03-22T23:03:00,52.45832335610502,13.322171160303034,52.42941666564411,13.289726597163508,3.894514002707405,0.9583755499285449,0.9013998130682335,11.88,11.6,8.25,9.57,23,4
O000027,Munich,2024-04-06T19:41:00,48.18034809303849,11.519484840159983,48.160994465665276,11.539534020291251,2.615678663107324,1.169920419404205,0.9958196812071703,8.26,7.91,6.53,7.49,19,5
O000028,Munich,2024-04-18T07:21:00,48.142899402737505,11.585121949490809,48.15817197518258,11.553371858997684,2.903798331558779,1.6610957614308657,0.8042007683265519,11.82,13.86,7.18,15.15,7,3
O000029,Berlin,2024-02-23T19:31:00,52.5640074360461,13.509133572326261,52.56841370933349,13.519680549299846,0.8650016775513825,0.9379466486813088,0.7987965237000596,4.12,3.97,4.24,5.71,19,4
O000030,Berlin,2024-04-16T12:35:00,52.50933043656431,13.312662927203663,52.512302169503734,13.307985367313533,0.45759875343195633,0.8349005606414976,0.9357228316694013,3.0,3.0,3.7,2.8,12,1
O000031,Berlin,2024-04-28T09:31:00,52.548623207114844,13.455373289974428,52.52350413395336,13.422160307101244,3.584370518694629,1.287255089439205,0.5103831317005352,42.27,38.9,9.25,20.86,9,6
O000032,Berlin,2024-04-18T18:18:00,52.460020086003844,13.470972321504036,52.463524340987995,13.464910082243794,0.5661445535018567,1.3961967584194621,0.5994941270724383,3.0,3.17,3.84,7.67,18,3
O000033,Munich,2024-04-14T05:33:00,48.158336876509715,11.614704156786436,48.15082911128114,11.597561123688985,1.5212197809744976,0.9422682722159723,1.0448184963620835,3.26,3.29,4.99,5.35,5,6
O000034,Berlin,2024-04-18T03:20:00,52.53348984267816,13.39999903424891,52.541143327483205,13.406744179202759,0.9655917982877925,1.4379605866435345,0.8383403429289698,5.16,5.5,4.43,7.52,3,3
O000035,Munich,2024-04-07T15:43:00,48.19862107444796,11.577742639962764,48.200786856428614,11.56250484926567,1.1547470564435127,0.8801214709111955,0.8203170657303284,3.62,3.43,4.56,5.89,15,6
O000036,Berlin,2024-01-04T03:56:00,52.50018916435488,13.505200266337882,52.5221529977249,13.468817759946377,3.467974152574502,1.2358880241442574,0.9061648695790591,24.85,23.43,8.33,12.85,3,3
O000037,Berlin,2024-04-29T23:11:00,52.482808848631684,13.312402609263204,52.504692191206985,13.33743468999361,2.965301122892877,1.2707744748330825,1.0010487399436365,11.95,11.0,7.11,10.02,23,0
O000038,Berlin,2024-03-21T14:29:00,52.465499129818184,13.509891225996919,52.47186960788524,13.488182650437196,1.6322457963547436,0.6931771658528756,1.2555353643797018,3.13,3.0,5.11,3.7,14,3
O000039,Berlin,2024-01-04T10:53:00,52.51731255658425,13.492863792584835,52.511521528557,13.463585010860886,2.0832815555801485,0.8503026926886893,1.1290751899170295,3.17,3.51,5.68,3.78,10,3
O000040,Berlin,2024-02-11T18:58:00,52.52079012242256,13.386293689921942,52.517038617743985,13.418626385481442,2.227112340852169,1.7004714104192056,0.814818956083955,11.29,10.38,6.19,11.56,18,6
O000041,Berlin,2024-02-09T10:48:00,52.480989326595875,13.401009866372418,52.509791281113,13.400419313891847,3.202880747219341,0.7239797083570216,0.7391060998990293,5.82,6.6,7.17,5.77,10,4
O000042,Berlin,2024-02-26T21:00:00,52.52690496937639,13.340013618567813,52.51764500637582,13.371756691360293,2.381711028916054,0.8028547907328912,1.1008093031035688,4.26,4.89,6.1,4.25,21,0
O000043,Berlin,2024-04-05T22:18:00,52.49371238332577,13.410751799588068,52.50513607304353,13.373896770775357,2.799561354262356,0.8414254335475312,0.8600548984014829,8.58,7.94,6.76,5.32,22,4
O000044,Munich,2024-02-28T03:25:00,48.174825969038366,11.505832942709892,48.15738692843857,11.495470710933203,2.0858658230536316,0.6969617875602896,1.273374853488905,3.0,3.0,5.65,4.11,3,2
O000045,Berlin,2024-01-30T02:18:00,52.51385361823184,13.323577842494752,52.51069836024125,13.326187223811154,0.3927801877892343,0.9501927920887243,0.8487298509431394,3.0,3.0,3.62,3.52,2,1
O000046,Berlin,2024-02-29T19:30:00,52.55686327368879,13.43059033978189,52.56760941283746,13.453724038870478,1.9680130408029952,1.0154736615295237,0.8277431597343472,4.3,4.88,5.61,6.19,19,3
O000047,Berlin,2024-01-29T11:12:00,52.518493396560274,13.378341279697526,52.54768431148785,13.386803265246078,3.295960514861253,1.1077820087369317,0.8698714861756346,10.8,11.72,7.54,8.67,11,0
O000048,Berlin,2024-02-17T17:49:00,52.51294136674843,13.390287301937725,52.541884083762945,13.35925041411117,3.8426193269728115,1.2846457338863333,0.9510782451651513,14.25,14.4,8.33,11.31,17,5
O000049,Munich,2024-01-30T02:08:00,48.11870437485575,11.525315093096594,48.11423056117274,11.525923923391352,0.4995143419768363,0.8044889510402897,1.0519445003442964,3.0,3.0,3.75,2.62,2,1
O000050,Berlin,2024-04-28T19:05:00,52.45621882441869,13.374052941202663,52.43428370503503,13.339122938840484,3.3990657056172693,1.2012585618428882,0.8846216260953702,11.49,11.5,7.65,10.17,19,6
O000051,Berlin,2024-03-28T16:53:00,52.56154349730974,13.4827362697133,52.589445111949736,13.452680047592143,3.708202319226803,1.1740586290684762,0.81731795749458,16.37,15.44,8.22,10.39,16,3
O000052,Berlin,2024-03-03T18:25:00,52.46963871314389,13.33613847554482,52.48851319635777,13.349354253200515,2.281620912180185,1.5742249406863384,0.7347952935664318,9.86,10.44,6.26,12.93,18,6
O000053,Munich,2024-03-06T05:25:00,48.15027203900925,11.512509777320554,48.17424651340573,11.503221075030412,2.753423332789884,0.9183849253956897,1.0471229116217131,5.48,5.05,6.56,5.94,5,2
O000054,Berlin,2024-04-04T15:09:00,52.54528302271244,13.436416006304272,52.547290688231016,13.467927412948349,2.142460498343127,0.9081278200919511,0.8300311261070417,4.68,4.72,5.81,7.28,15,3
O000055,Berlin,2024-02-17T16:11:00,52.54855087656064,13.324338982130147,52.56933801406471,13.294538075116705,3.0661221987981166,1.2287832348182264,0.7111413479847777,12.76,12.38,7.3,13.9,16,5
O000056,Berlin,2024-04-19T00:20:00,52.515126933201714,13.35539579295953,52.50586869281195,13.329923610303645,2.0078342607839734,0.6442559502191443,1.2992088622978366,3.0,3.0,5.56,3.93,0,4
O000057,Berlin,2024-04-20T16:47:00,52.554654869073296,13.505066022146394,52.55856286008865,13.520798088056546,1.1489004071867768,1.388883065817909,0.6419051089109377,6.33,6.32,4.69,10.07,16,5
O000058,Munich,2024-04-10T16:01:00,48.19255685129068,11.543117511996579,48.16935113404113,11.581904807913565,3.8637308471417815,1.411144982457739,1.0188383036941897,18.91,20.26,8.65,12.75,16,2
O000059,Berlin,2024-02-11T15:13:00,52.49778024323091,13.418227032646342,52.52297158021568,13.40593471219562,2.922065723263415,1.3059100638921228,0.9328430601419744,7.3,7.58,6.89,7.98,15,6
O000060,Berlin,2024-03-16T20:55:00,52.500271053940544,13.501266098234982,52.49201468788754,13.507713166257226,1.0165293987186221,0.9462222618890339,0.778694818251666,3.11,3.0,4.37,4.87,20,5
O000061,Berlin,2024-01-08T21:14:00,52.472882526479644,13.308040926926582,52.47120654318624,13.313228217587591,0.3977211998553065,1.0118436868028977,0.9490045565158289,3.0,3.0,3.63,3.73,21,0
O000062,Berlin,2024-02-02T11:44:00,52.471831375659434,13.489592836622974,52.49859830338745,13.479457581925354,3.0544465734757136,0.7778848309068342,1.3504540886847245,3.14,3.47,6.84,4.87,11,4
O000063,Berlin,2024-01-29T13:57:00,52.46249302983815,13.4759815387821,52.44320570956141,13.48820122741025,2.298956932207606,1.2543110189988318,0.951934920368373,10.23,9.61,6.24,9.2,13,0
O000064,Berlin,2024-01-11T06:15:00,52.4745981154499,13.364492500657423,52.49837826456117,13.325532654538282,3.735138765065221,1.0652266044484235,0.7497772847229394,12.36,13.21,8.14,10.32,6,3
O000065,Berlin,2024-02-22T08:02:00,52.482167636898744,13.43731275972681,52.47673233603022,13.441476534194969,0.6669233668471838,1.363019572711402,0.8422034934405237,3.0,3.25,3.96,7.34,8,3
O000066,Munich,2024-03-05T23:54:00,48.17998552559473,11.539529890625692,48.151333684093935,11.521024079376488,3.4689919790340427,0.7303629155788574,1.148652818804543,6.52,6.64,7.49,5.13,23,1
O000067,Berlin,2024-03-07T12:01:00,52.55971585678726,13.325905238235832,52.564306845318114,13.307829655890808,1.3241887304967457,0.9632033327294641,1.2058311274651288,3.0,3.0,4.74,3.45,12,3
O000068,Munich,2024-04-19T17:30:00,48.159741310217036,11.564072360460711,48.16964351068981,11.538102062750587,2.218622594311595,1.031825153733671,0.5440846066528597,12.49,12.08,6.27,9.98,17,4
O000069,Berlin,2024-02-05T15:42:00,52.496715473685036,13.363512622089555,52.488055836672935,13.381036294504295,1.5279870981474861,1.0052182100421667,0.8101202222336114,3.75,3.46,5.01,6.59,15,0
O000070,Berlin,2024-03-12T14:54:00,52.48147168531598,13.430917144754057,52.45455723412503,13.430626444530155,2.992815211867834,1.2298546652571352,0.8593647149748225,11.95,12.47,7.21,9.56,14,1
O000071,Munich,2024-01-11T23:45:00,48.16946964708544,11.518100319212195,48.17488348709759,11.506978230967396,1.0210902758874267,1.354160127127102,0.9851133141799907,3.04,3.09,4.38,7.07,23,3
O000072,Munich,2024-02-28T17:32:00,48.16587833667107,11.576918719032498,48.18683007576499,11.556892159741233,2.7627371539804653,1.485923643826517,0.8415375374326223,12.13,14.12,7.02,13.09,17,2
O000073,Munich,2024-04-11T08:18:00,48.19710582451654,11.61219730847588,48.19555867751599,11.641160720555025,2.1536598941395693,1.144650284835938,0.9876567611951996,6.68,6.69,5.92,5.88,8,3
O000074,Berlin,2024-02-07T20:02:00,52.53355465310538,13.374772492028974,52.547040659397105,13.34000099929289,2.789011745298867,1.2893955768707466,1.039310955302315,8.64,8.6,6.78,7.15,20,2
O000075,Munich,2024-04-05T20:29:00,48.10212694108504,11.602458234175787,48.10386316912667,11.637583650056818,2.6153823427702068,0.7028879253926056,0.8965423099799256,4.31,4.28,6.35,6.0,20,4
O000076,Munich,2024-01-14T06:09:00,48.141776678216736,11.53898998031879,48.15603161631207,11.518092151980255,2.217243648283622,0.7311098977931445,0.8162696107031604,5.18,6.06,5.96,6.33,6,6
O000077,Berlin,2024-01-11T17:30:00,52.53155767392317,13.348015855330315,52.55855534496018,13.37092345648356,3.378104963963662,1.246440486979174,0.9968644796953168,13.23,13.69,7.74,9.77,17,3
O000078,Munich,2024-03-02T12:32:00,48.123167170138345,11.611982448378917,48.13214596907789,11.620601391969226,1.185751165115608,0.8724520031497368,0.8938006089996364,3.72,3.96,4.62,3.88,12,5
O000079,Munich,2024-03-31T23:43:00,48.192775228319526,11.6192870951705,48.1732089432727,11.610986456682713,2.2610333745895854,0.888904576167949,0.8335288853791543,5.92,6.54,6.04,5.74,23,6
O000080,Berlin,2024-01-16T13:00:00,52.51961034494054,13.320127104227506,52.54225799669836,13.301375107634602,2.8197205541343013,1.057173078144981,1.066891357997405,5.63,5.91,6.68,6.12,13,1
O000081,Munich,2024-01-10T03:15:00,48.14958757350788,11.491346470227072,48.13279856562487,11.506007171319839,2.160671546240108,1.4020409077532698,0.9967154207854496,6.57,6.58,5.92,9.26,3,2
O000082,Berlin,2024-03-20T00:20:00,52.517887835679495,13.358746219437274,52.5406056348608,13.382540301165829,2.9953200397895823,1.1640964362394728,1.1014548062214595,7.56,7.28,6.96,6.59,0,2
O000083,Munich,2024-03-30T05:18:00,48.10292472830346,11.595614345079067,48.08065692035186,11.5824238534198,2.662832320896167,1.2338591180891345,1.0737346617745802,9.81,10.04,6.7,6.04,5,5
O000084,Berlin,2024-03-05T19:09:00,52.56774234136329,13.438998975943667,52.553330556227145,13.449719432191635,1.7587564199044712,0.9384443530093999,1.043830065532788,4.36,4.66,5.34,5.27,19,1
