vehicle_id,ts,hour,day_of_week,speed_kmh,engine_temp_c,battery_v,vibration,failure_event
V001,2024-01-01T00:00:00,0,0,28.19,102.14,13.683,0.448,0
V001,2024-01-01T00:15:00,0,0,9.02,95.05,13.656,0.276,0
V001,2024-01-01T00:30:00,0,0,0.0,92.64,13.69,0.146,0
V001,2024-01-01T00:45:00,0,0,3.45,95.47,13.678,0.177,0
V001,2024-01-01T01:00:00,1,0,31.89,102.46,13.73,0.524,0
V001,2024-01-01T01:15:00,1,0,1.86,91.93,13.708,0.23,0
V001,2024-01-01T01:30:00,1,0,5.05,90.91,13.681,0.195,0
V001,2024-01-01T01:45:00,1,0,7.75,91.72,13.68,0.254,0
V001,2024-01-01T02:00:00,2,0,34.91,106.46,13.687,0.454,0
V001,2024-01-01T02:15:00,2,0,5.52,92.84,13.704,0.256,0
V001,2024-01-01T02:30:00,2,0,35.55,103.77,13.72,0.501,0
V001,2024-01-01T02:45:00,2,0,0.0,90.77,13.692,0.085,0
V001,2024-01-01T03:00:00,3,0,0.0,90.9,13.76,0.152,0
V001,2024-01-01T03:15:00,3,0,35.89,107.15,13.609,0.551,0
V001,2024-01-01T03:30:00,3,0,0.0,91.94,13.695,0.25,0
V001,2024-01-01T03:45:00,3,0,49.48,112.7,13.712,0.738,0
V001,2024-01-01T04:00:00,4,0,0.0,92.67,13.682,0.097,0
V001,2024-01-01T04:15:00,4,0,23.31,101.73,13.644,0.297,0
V001,2024-01-01T04:30:00,4,0,0.0,93.44,13.701,0.163,0
V001,2024-01-01T04:45:00,4,0,2.25,95.45,13.699,0.243,0
V001,2024-01-01T05:00:00,5,0,17.03,97.53,13.734,0.297,0
V001,2024-01-01T05:15:00,5,0,0.0,92.68,13.669,0.11,0
V001,2024-01-01T05:30:00,5,0,0.0,92.5,13.757,0.183,0
V001,2024-01-01T05:45:00,5,0,1.47,90.88,13.623,0.269,0
V001,2024-01-01T06:00:00,6,0,0.0,90.84,13.723,0.153,0
V001,2024-01-01T06:15:00,6,0,0.72,93.49,13.588,0.177,0
V001,2024-01-01T06:30:00,6,0,7.33,93.23,13.692,0.222,0
V001,2024-01-01T06:45:00,6,0,0.0,91.3,13.679,0.185,0
V001,2024-01-01T07:00:00,7,0,40.43,112.35,13.784,0.535,0
V001,2024-01-01T07:15:00,7,0,41.13,110.71,13.653,0.552,0
V001,2024-01-01T07:30:00,7,0,34.37,104.93,13.684,0.43,0
V001,2024-01-01T07:45:00,7,0,29.83,107.23,13.834,0.414,0
V001,2024-01-01T08:00:00,8,0,30.71,104.51,13.727,0.503,0
V001,2024-01-01T08:15:00,8,0,36.7,106.91,13.7,0.514,0
V001,2024-01-01T08:30:00,8,0,41.42,109.33,13.688,0.553,0
V001,2024-01-01T08:45:00,8,0,55.35,117.22,13.707,0.69,0
V001,2024-01-01T09:00:00,9,0,48.14,112.41,13.711,0.569,0
V001,2024-01-01T09:15:00,9,0,34.83,107.14,13.689,0.509,0
V001,2024-01-01T09:30:00,9,0,50.38,109.15,13.675,0.688,0
V001,2024-01-01T09:45:00,9,0,41.23,111.97,13.609,0.631,0
V001,2024-01-01T10:00:00,10,0,10.4,97.96,13.772,0.339,0
V001,2024-01-01T10:15:00,10,0,0.0,93.06,13.65,0.226,0
V001,2024-01-01T10:30:00,10,0,47.98,113.32,13.776,0.693,0
V001,2024-01-01T10:45:00,10,0,12.09,98.82,13.649,0.247,0
V001,2024-01-01T11:00:00,11,0,0.0,94.79,13.714,0.062,0
V001,2024-01-01T11:15:00,11,0,0.0,92.21,13.713,0.098,0
V001,2024-01-01T11:30:00,11,0,6.51,97.33,13.695,0.254,0
V001,2024-01-01T11:45:00,11,0,3.07,95.88,13.63,0.202,0
V001,2024-01-01T12:00:00,12,0,6.76,95.9,13.749,0.288,0
V001,2024-01-01T12:15:00,12,0,0.0,95.6,13.659,0.184,0
V001,2024-01-01T12:30:00,12,0,0.0,93.88,13.708,0.192,0
V001,2024-01-01T12:45:00,12,0,3.68,95.77,13.688,0.254,0
V001,2024-01-01T13:00:00,13,0,40.18,110.57,13.661,0.607,0
V001,2024-01-01T13:15:00,13,0,0.0,91.05,13.564,0.145,0
V001,2024-01-01T13:30:00,13,0,10.62,97.44,13.748,0.29,0
V001,2024-01-01T13:45:00,13,0,0.0,94.51,13.766,0.111,0
V001,2024-01-01T14:00:00,14,0,0.0,94.72,13.649,0.153,0
V001,2024-01-01T14:15:00,14,0,2.63,94.93,13.745,0.189,0
V001,2024-01-01T14:30:00,14,0,3.07,94.38,13.696,0.309,0
V001,2024-01-01T14:45:00,14,0,0.0,93.85,13.677,0.196,0
V001,2024-01-01T15:00:00,15,0,0.0,92.92,13.775,0.236,0
V001,2024-01-01T15:15:00,15,0,1.48,94.88,13.661,0.249,0
V001,2024-01-01T15:30:00,15,0,11.47,98.09,13.706,0.293,0
V001,2024-01-01T15:45:00,15,0,5.32,97.13,13.695,0.221,0
V001,2024-01-01T16:00:00,16,0,23.96,102.45,13.577,0.347,0
V001,2024-01-01T16:15:00,16,0,26.59,99.55,13.649,0.569,0
V001,2024-01-01T16:30:00,16,0,26.12,103.36,13.681,0.439,0
V001,2024-01-01T16:45:00,16,0,33.1,107.94,13.757,0.465,0
V001,2024-01-01T17:00:00,17,0,49.84,112.63,13.748,0.688,0
V001,2024-01-01T17:15:00,17,0,31.08,105.11,13.698,0.416,0
V001,2024-01-01T17:30:00,17,0,19.45,99.94,13.59,0.337,0
V001,2024-01-01T17:45:00,17,0,37.33,108.57,13.624,0.592,0
V001,2024-01-01T18:00:00,18,0,40.98,112.77,13.67,0.578,0
V001,2024-01-01T18:15:00,18,0,31.5,105.81,13.69,0.502,0
V001,2024-01-01T18:30:00,18,0,37.33,107.25,13.701,0.567,0
V001,2024-01-01T18:45:00,18,0,31.41,106.13,13.6,0.566,0
V001,2024-01-01T19:00:00,19,0,0.0,92.83,13.619,0.221,0
V001,2024-01-01T19:15:00,19,0,12.89,96.57,13.685,0.405,0
V001,2024-01-01T19:30:00,19,0,35.22,106.53,13.713,0.55,0
V001,2024-01-01T19:45:00,19,0,33.59,105.69,13.699,0.56,0
V001,2024-01-01T20:00:00,20,0,40.49,107.24,13.694,0.551,0
V001,2024-01-01T20:15:00,20,0,11.61,97.15,13.673,0.316,0
V001,2024-01-01T20:30:00,20,0,10.9,95.93,13.55,0.376,0
V001,2024-01-01T20:45:00,20,0,0.0,92.82,13.615,0.216,0
V001,2024-01-01T21:00:00,21,0,1.38,93.13,13.663,0.231,0
V001,2024-01-01T21:15:00,21,0,0.0,95.83,13.661,0.271,0
V001,2024-01-01T21:30:00,21,0,1.42,95.41,13.653,0.117,0
V001,2024-01-01T21:45:00,21,0,0.0,90.57,13.693,0.162,0
V001,2024-01-01T22:00:00,22,0,0.0,94.22,13.686,0.307,0
V001,2024-01-01T22:15:00,22,0,5.0,96.81,13.642,0.216,0
V001,2024-01-01T22:30:00,22,0,0.0,93.38,13.656,0.236,0
V001,2024-01-01T22:45:00,22,0,0.0,91.49,13.658,0.244,0
V001,2024-01-01T23:00:00,23,0,30.8,103.78,13.696,0.486,0
V001,2024-01-01T23:15:00,23,0,0.0,92.47,13.607,0.111,0
V001,2024-01-01T23:30:00,23,0,9.02,92.94,13.592,0.233,0
V001,2024-01-01T23:45:00,23,0,29.65,105.25,13.669,0.513,0
V001,2024-01-02T00:00:00,0,1,6.46,92.84,13.554,0.305,0
V001,2024-01-02T00:15:00,0,1,46.05,113.76,13.692,0.632,0
V001,2024-01-02T00:30:00,0,1,16.39,101.84,13.722,0.308,0
V001,2024-01-02T00:45:00,0,1,5.08,95.71,13.697,0.259,0
V001,2024-01-02T01:00:00,1,1,13.45,100.5,13.733,0.338,0
V001,2024-01-02T01:15:00,1,1,3.18,93.84,13.599,0.22,0
V001,2024-01-02T01:30:00,1,1,40.6,108.75,13.654,0.543,0
V001,2024-01-02T01:45:00,1,1,3.13,90.97,13.657,0.273,0
V001,2024-01-02T02:00:00,2,1,0.0,92.87,13.682,0.256,0
V001,2024-01-02T02:15:00,2,1,1.74,92.71,13.634,0.222,0
V001,2024-01-02T02:30:00,2,1,1.95,93.46,13.605,0.188,0
V001,2024-01-02T02:45:00,2,1,0.0,89.44,13.663,0.194,0
V001,2024-01-02T03:00:00,3,1,12.49,95.5,13.642,0.28,0
V001,2024-01-02T03:15:00,3,1,0.0,95.0,13.663,0.281,0
V001,2024-01-02T03:30:00,3,1,6.81,93.76,13.709,0.243,0
V001,2024-01-02T03:45:00,3,1,0.11,92.6,13.682,0.098,0
V001,2024-01-02T04:00:00,4,1,0.67,91.23,13.702,0.133,0
V001,2024-01-02T04:15:00,4,1,30.54,105.27,13.663,0.405,0
V001,2024-01-02T04:30:00,4,1,0.0,92.25,13.707,0.139,0
V001,2024-01-02T04:45:00,4,1,0.0,88.12,13.574,0.153,0
V001,2024-01-02T05:00:00,5,1,8.39,94.17,13.616,0.302,0
V001,2024-01-02T05:15:00,5,1,12.71,95.93,13.762,0.31,0
V001,2024-01-02T05:30:00,5,1,3.18,93.84,13.627,0.276,0
V001,2024-01-02T05:45:00,5,1,10.91,93.23,13.642,0.261,0
V001,2024-01-02T06:00:00,6,1,0.0,92.27,13.646,0.199,0
V001,2024-01-02T06:15:00,6,1,2.48,93.49,13.6,0.216,0
V001,2024-01-02T06:30:00,6,1,3.93,94.94,13.671,0.218,0
V001,2024-01-02T06:45:00,6,1,0.0,92.21,13.68,0.138,0
V001,2024-01-02T07:00:00,7,1,56.55,114.11,13.676,0.843,0
V001,2024-01-02T07:15:00,7,1,38.32,104.73,13.643,0.543,0
V001,2024-01-02T07:30:00,7,1,37.76,106.85,13.686,0.525,0
V001,2024-01-02T07:45:00,7,1,27.27,102.94,13.678,0.393,0
V001,2024-01-02T08:00:00,8,1,43.66,106.69,13.671,0.619,0
V001,2024-01-02T08:15:00,8,1,52.96,114.45,13.648,0.745,0
V001,2024-01-02T08:30:00,8,1,45.2,109.24,13.617,0.629,0
V001,2024-01-02T08:45:00,8,1,43.97,108.24,13.691,0.657,0
V001,2024-01-02T09:00:00,9,1,25.37,99.76,13.601,0.455,0
V001,2024-01-02T09:15:00,9,1,41.33,108.14,13.673,0.643,0
V001,2024-01-02T09:30:00,9,1,38.89,106.66,13.704,0.647,0
V001,2024-01-02T09:45:00,9,1,34.38,104.83,13.701,0.515,0
V001,2024-01-02T10:00:00,10,1,5.59,93.44,13.613,0.212,0
V001,2024-01-02T10:15:00,10,1,0.0,90.72,13.656,0.322,0
V001,2024-01-02T10:30:00,10,1,0.95,92.04,13.643,0.282,0
V001,2024-01-02T10:45:00,10,1,30.03,103.66,13.722,0.497,0
V001,2024-01-02T11:00:00,11,1,0.0,91.27,13.716,0.341,0
V001,2024-01-02T11:15:00,11,1,42.07,107.83,13.655,0.601,0
V001,2024-01-02T11:30:00,11,1,0.0,90.9,13.689,0.21,0
V001,2024-01-02T11:45:00,11,1,42.56,109.36,13.711,0.684,0
V001,2024-01-02T12:00:00,12,1,5.61,91.05,13.609,0.323,0
V001,2024-01-02T12:15:00,12,1,0.0,90.98,13.652,0.259,0
V001,2024-01-02T12:30:00,12,1,38.63,105.13,13.636,0.579,0
V001,2024-01-02T12:45:00,12,1,21.83,98.18,13.635,0.387,0
V001,2024-01-02T13:00:00,13,1,0.3,90.75,13.647,0.292,0
V001,2024-01-02T13:15:00,13,1,5.52,93.67,13.628,0.309,0
V001,2024-01-02T13:30:00,13,1,34.11,105.43,13.652,0.544,0
V001,2024-01-02T13:45:00,13,1,0.0,90.34,13.571,0.154,0
V001,2024-01-02T14:00:00,14,1,35.7,103.27,13.55,0.555,0
V001,2024-01-02T14:15:00,14,1,1.19,91.73,13.666,0.15,0
V001,2024-01-02T14:30:00,14,1,27.6,101.26,13.663,0.511,0
V001,2024-01-02T14:45:00,14,1,6.0,95.99,13.743,0.203,0
V001,2024-01-02T15:00:00,15,1,0.0,91.31,13.639,0.172,0
V001,2024-01-02T15:15:00,15,1,2.38,92.95,13.62,0.22,0
V001,2024-01-02T15:30:00,15,1,20.61,97.11,13.71,0.409,0
V001,2024-01-02T15:45:00,15,1,42.8,108.87,13.615,0.662,0
V001,2024-01-02T16:00:00,16,1,29.13,102.44,13.659,0.457,0
V001,2024-01-02T16:15:00,16,1,51.02,112.98,13.593,0.8,0
V001,2024-01-02T16:30:00,16,1,35.31,102.07,13.634,0.481,0
V001,2024-01-02T16:45:00,16,1,41.02,105.98,13.611,0.655,0
V001,2024-01-02T17:00:00,17,1,46.6,109.45,13.682,0.65,0
V001,2024-01-02T17:15:00,17,1,43.9,109.21,13.671,0.723,0
V001,2024-01-02T17:30:00,17,1,33.62,104.16,13.611,0.624,0
V001,2024-01-02T17:45:00,17,1,21.24,96.16,13.68,0.423,0
V001,2024-01-02T18:00:00,18,1,54.63,113.78,13.648,0.732,0
V001,2024-01-02T18:15:00,18,1,45.37,106.49,13.606,0.603,0
V001,2024-01-02T18:30:00,18,1,18.24,98.94,13.677,0.378,0
V001,2024-01-02T18:45:00,18,1,16.38,96.77,13.58,0.412,0
V001,2024-01-02T19:00:00,19,1,0.0,91.32,13.564,0.268,0
V001,2024-01-02T19:15:00,19,1,1.83,92.96,13.653,0.148,0
V001,2024-01-02T19:30:00,19,1,45.62,109.45,13.659,0.758,0
V001,2024-01-02T19:45:00,19,1,0.0,91.46,13.659,0.183,0
V001,2024-01-02T20:00:00,20,1,7.33,93.62,13.625,0.311,0
V001,2024-01-02T20:15:00,20,1,3.73,91.8,13.612,0.227,0
V001,2024-01-02T20:30:00,20,1,6.9,93.09,13.656,0.223,0
V001,2024-01-02T20:45:00,20,1,6.63,94.19,13.556,0.275,0
V001,2024-01-02T21:00:00,21,1,11.79,97.52,13.493,0.313,0
V001,2024-01-02T21:15:00,21,1,29.91,103.46,13.59,0.476,0
